Project Name,Package Name,Type Name,Method Name,Test Smell,Cause of the Smell
akto,com.akto.dao,TestSingleTypeInfoDao,testFetchStiOfCollections,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.akto.dto.type.SingleTypeInfo.getApiCollectionId; com.akto.dao.SingleTypeInfoDao.fetchStiOfCollections; com.akto.dao.MCollection.getMCollection
akto,com.akto.dao,TestApiCollectionsDao,testFetchNonTrafficApiCollectionsIds,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
akto,com.akto.dao,TestApiCollectionsDao,testFetchNonTrafficApiCollectionsIds,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.akto.dao.ApiCollectionsDao.fetchNonTrafficApiCollectionsIds; com.akto.dao.MCollection.getMCollection
akto,com.akto.dao,TestAccountSettingsDao,testUpdateOnboardingFlag,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
akto,com.akto.dao,TestAccountSettingsDao,testUpdateOnboardingFlag,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.akto.dao.AccountSettingsDao.generateFilter; com.akto.dto.AccountSettings.isShowOnboarding; com.akto.dao.AccountSettingsDao.updateOnboardingFlag; com.akto.dao.MCollection.getMCollection; com.akto.dao.MCollection.findOne
akto,com.akto.dao,TestUsersDao,testGetFirstUser,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
akto,com.akto.dao,TestUsersDao,testGetFirstUser,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.akto.dto.User.getLogin; com.akto.dto.User.setId; com.akto.dao.context.Context.now; com.akto.dao.MCollection.getMCollection; com.akto.dao.UsersDao.getFirstUser
akto,com.akto.dao,TestSampleDataDao,testFetchSampleDataPaginated,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 10
akto,com.akto.dao,TestSampleDataDao,testFetchSampleDataPaginated,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.akto.dao.SampleDataDao.fetchSampleDataPaginated; com.akto.dto.traffic.Key.getUrl; com.akto.dao.MCollection.getMCollection; com.akto.dto.traffic.SampleData.getSamples; com.akto.dto.traffic.SampleData.getId; com.akto.dto.traffic.Key.getMethod
akto,com.akto.dao.loaders,TestLoadersDao,testupdateIncrementalCount,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
